Nome,Papel,Minicurso,Programa
Milena Biguetti dos Santos,Responsável,Expressão e purificação de Proteínas,Biocel
Zelinda Schemczssen,Ministrante,Expressão e purificação de Proteínas,Biocel
Gabriel Elias Bueno,Responsável,Toxicologia Celular,Biocel
Francisco Filipak Neto,Ministrante,Toxicologia Celular,Biocel
Laura Lima Verde,Ministrante,Toxicologia Celular,Biocel
Deborah Helen Fabiano Ribeiro,Ministrante,Toxicologia Celular,Biocel
Ana Paula da Silva,Responsável,Biomarcadores: da teoria à prática experimental,Biocel
Felipe Schaly,Ministrante,Biomarcadores: da teoria à prática experimental,Biocel
Maritana Mela Prodocimo,Ministrante,Biomarcadores: da teoria à prática experimental,Biocel
Rhandria Sampaio de Souza,Responsável,"Tópicos básicos em biologia molecular, bioinformática e cultivo celular",Biocel
Geórgia Seifert Neves,Ministrante,"Tópicos básicos em biologia molecular, bioinformática e cultivo celular",Biocel
Sabina Beganovic,Ministrante,"Tópicos básicos em biologia molecular, bioinformática e cultivo celular",Biocel
Alan Miguel Brum da Silva,Ministrante,"Tópicos básicos em biologia molecular, bioinformática e cultivo celular",Biocel
Tainara Marcansoni,Ministrante,"Tópicos básicos em biologia molecular, bioinformática e cultivo celular",Biocel
Julia Anselmo da Luz Rico,Responsável,"Explorando a biologia através do nematoide C. elegans: aplicações como modelo animal em estudos biológicos, genéticos e comportamentais.",Bioquimica
Gustavo Passaglia Bruschi,Ministrante,"Explorando a biologia através do nematoide C. elegans: aplicações como modelo animal em estudos biológicos, genéticos e comportamentais.",Bioquimica
João Vitor Mello Hortega,Responsável,Genes e Medicamentos: uma introdução à farmacogenética e farmacogenômica,Genetica
Jeferson Machado Batista Sohn,Ministrante,Genes e Medicamentos: uma introdução à farmacogenética e farmacogenômica,Genetica
Vitória Colucci de Oliveira,Responsável,Cultivo Celular e suas Aplicações,Genetica
Hugo Catiano Paes Junior,Ministrante,Cultivo Celular e suas Aplicações,Genetica
Milena Rocha Sampaio,Ministrante,Cultivo Celular e suas Aplicações,Genetica
Vinícius da Luz Redígolo,Responsável,Fungos endofíticos: estratégias de isolamento e prospecção enzimática,Genetica
Vanessa Merlo Kava,Colaborador,Fungos endofíticos: estratégias de isolamento e prospecção enzimática,Genetica
Marcel Ramirez,Responsável,Introdução a Biologia da Interação Patógeno-Hospedeiro,Biocel
Abel Sana,Ministrante,Introdução a Biologia da Interação Patógeno-Hospedeiro,Biocel
Fernanda Araujo Fernandes,Ministrante,Introdução a Biologia da Interação Patógeno-Hospedeiro,Biocel
Nusrat Sattar,Ministrante,Introdução a Biologia da Interação Patógeno-Hospedeiro,Biocel
Tiago Fernando Chaves,Responsável,Clinical Interpretation of Genomic Variants: Application of ACMG Criteria in Exome Sequencing Data. (Interpretação Clínica de Variantes Genômicas: Aplicação dos Critérios do ACMG em Dados de Sequenciamento do Exoma.),Genetica
Daniel Pacheco Bruschi,Responsável,Clinical Interpretation of Genomic Variants: Application of ACMG Criteria in Exome Sequencing Data. (Interpretação Clínica de Variantes Genômicas: Aplicação dos Critérios do ACMG em Dados de Sequenciamento do Exoma.),Genetica
Juliane Heyde dos Santos,Colaborador,Clinical Interpretation of Genomic Variants: Application of ACMG Criteria in Exome Sequencing Data. (Interpretação Clínica de Variantes Genômicas: Aplicação dos Critérios do ACMG em Dados de Sequenciamento do Exoma.),Genetica
Julia Teixeira Lucena,Responsável,Nanotecnologia em Saúde: De Nanopartículas a Vacinas,Bioquimica
Mariana Vodiani,Responsável,Nanotecnologia em Saúde: De Nanopartículas a Vacinas,Bioquimica
Isabela Pereira Dias,Responsável,Nanotecnologia em Saúde: De Nanopartículas a Vacinas,Bioquimica
Marina Siqueira de Lima,Responsável,Nanotecnologia em Saúde: De Nanopartículas a Vacinas,Bioquimica
Camila de Almeida Salvego,Responsável,Nanotecnologia em Saúde: De Nanopartículas a Vacinas,Bioquimica
Angelica Beate Winter Boldt,Responsável,Epigenética e Exposoma relacionado ao DOHaD (Developmental origins of health and disease),Genetica
Stephanie Rubianne Silva Carvalhal,Ministrante,Epigenética e Exposoma relacionado ao DOHaD (Developmental origins of health and disease),Genetica
Ana Cláudia Thomaz,Ministrante,Epigenética e Exposoma relacionado ao DOHaD (Developmental origins of health and disease),Genetica
Ana Paolla Protachevicz,Ministrante,Epigenética e Exposoma relacionado ao DOHaD (Developmental origins of health and disease),Genetica
Fernanda Vitório da Silva,Ministrante,Epigenética e Exposoma relacionado ao DOHaD (Developmental origins of health and disease),Genetica
Raphaela Ohanna Schmitz Rios,Ministrante,Epigenética e Exposoma relacionado ao DOHaD (Developmental origins of health and disease),Genetica
Rafaela Kriczinski,Responsável,Análise Eletroforética de Proteínas por SDS-PAGE,Bioquimica
Lucas Passarin,Ministrante,Análise Eletroforética de Proteínas por SDS-PAGE,Bioquimica
Luis Phelipe de Souza Miranda,Responsável,Genotoxicidade em Organismos Aquáticos: Fundamentos e Aplicações do Ensaio Cometa,Genetica
Gabriel da Silva,Ministrante,Genotoxicidade em Organismos Aquáticos: Fundamentos e Aplicações do Ensaio Cometa,Genetica
Gustavo Martello Wiener,Ministrante,Genotoxicidade em Organismos Aquáticos: Fundamentos e Aplicações do Ensaio Cometa,Genetica
Emerson Spaki Rodrigues,Responsável,Otimizando a Bioatividade de Polissacarídeos via Síntese Orgânica,Bioquimica
Ana Carolina Mallin,Responsável,Proteômica baseada em espectrometria de massas,Genetica
Talita Helen Bombardelli Gomig,Responsável,Proteômica baseada em espectrometria de massas,Genetica
João Vitor Mello Hortega,Responsável,Proteômica baseada em espectrometria de massas,Genetica
Isadora Fantachole,Ministrante,Proteômica baseada em espectrometria de massas,Genetica
Ana Júlia P. de Lima,Ministrante,Proteômica baseada em espectrometria de massas,Genetica
Juliana da Costa Moraes,Ministrante,Proteômica baseada em espectrometria de massas,Genetica
Francisco José Teles Mota,Responsável,Biologia Sintética: Do design á síntese,Bioquimica
Laura Witzler Ismael,Ministrante,Biologia Sintética: Do design á síntese,Bioquimica
Juliany Torres Siqueira,Responsável,"Bioinovação: fundamens de inovação, modelagem de negócios e pitch (teoria e prática)",Bioquimica
Debora C. V. Del Grossi,Responsável,Introdução ao cultivo celular,Biocel
Fabiana Lolis,Ministrante,Introdução ao cultivo celular,Biocel
Douglas de Jesus da Silva Claudino,Responsável,Metabolismo e viabilidade de células tumorais: modelos In vitro e In vivo no estudo do câncer,Bioquimica
Ana Gabriela jungles,Ministrante,Metabolismo e viabilidade de células tumorais: modelos In vitro e In vivo no estudo do câncer,Bioquimica
Ana Luiza Provesi Hilgert,Ministrante,Metabolismo e viabilidade de células tumorais: modelos In vitro e In vivo no estudo do câncer,Bioquimica
Bruna Isadora Pilger,Ministrante,Metabolismo e viabilidade de células tumorais: modelos In vitro e In vivo no estudo do câncer,Bioquimica
Matheus D Avila Almeida,Ministrante,Metabolismo e viabilidade de células tumorais: modelos In vitro e In vivo no estudo do câncer,Bioquimica
Lucélia Donatti,Responsável,Desvendando os Peixes Antárticos: Ecofisiologia e Biologia Celular e Molecular Aplicada,Biocel
Sun Tae Languinotti dos Santos Viana,Ministrante,Desvendando os Peixes Antárticos: Ecofisiologia e Biologia Celular e Molecular Aplicada,Biocel
Cesar Wisniewski Potuk,Ministrante,Desvendando os Peixes Antárticos: Ecofisiologia e Biologia Celular e Molecular Aplicada,Biocel
Ana Paula Nascimento Corrêa,Ministrante,Desvendando os Peixes Antárticos: Ecofisiologia e Biologia Celular e Molecular Aplicada,Biocel
Ananda Karla Alves Neundorf,Ministrante,Desvendando os Peixes Antárticos: Ecofisiologia e Biologia Celular e Molecular Aplicada,Biocel
Gabriel Valaski Grzegorczyk,Responsável,Princípios e Aplicações da Extração de DNA,Genetica
Ana Carolina Mallin,Ministrante,Princípios e Aplicações da Extração de DNA,Genetica
João Vitor Mello Hortega,Ministrante,Princípios e Aplicações da Extração de DNA,Genetica
Ana Carolina Mallin,Responsável,Inteligência Artificial e Dados Biológicos,Genetica
